Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"OGF Slab","Egyptian Boulder > Empire Boulders > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/121099368/ogf-slab,3.0,-1,Boulder,V9,1,10,45.74499,-121.76218
"Pick Your Poison","Torture Chamber > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119830575/pick-your-poison,3.5,-1,Boulder,V9,1,15,47.5877,-120.68602
"Pierce Brosnan","From Russia With Love > Lower Bond Boulders > The Bond Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119095100/pierce-brosnan,2.0,-1,Boulder,V9,1,,47.55,-120.69672
"Pimped Out","Pimpsqueak Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120540812/pimped-out,3.7,-1,Boulder,V9,1,12,47.54266,-120.72102
"Pogo power","Bouldering > McLellan Rocks > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/124743751/pogo-power,3.0,-1,Boulder,V9,1,15,47.83545,-117.72501
"Pressed For Time","Main Cluster > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443360/pressed-for-time,4.0,-1,"Boulder, Alpine",V8-9,1,,47.79356,-121.08888
"Pressure Drop","Pressure Drop Boulder > West Forest > Forest > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106203623/pressure-drop,3.5,-1,Boulder,V9,1,,47.84874,-121.60839
"Quarantine Direct","CDC > Semantics Area > 2nd Field (Main) > Treasury > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/119916936/quarantine-direct,3.0,-1,Boulder,V8-9,1,,47.76112,-121.12828
Raven,"Hate Rock > Swiftwater Picnic Area > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106529323/raven,2.0,-1,Boulder,V9,1,,47.65417,-120.72906
"Real Imagination","Hueco Crimper Boulder > Pitless Avocado > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118095864/real-imagination,3.4,-1,Boulder,V9,1,15,47.59728,-120.71362
"Rubb Dyno","The Hesitator > Barney's Rubble > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119888154/rubb-dyno,3.4,-1,Boulder,V9,1,,47.54305,-120.73494
"Rubik’s Cube","Rubik's Cube Group > Clearcut > Reiter Foothills > Gold Bar Boulders > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/113977793/rubiks-cube,3.4,-1,Boulder,V9,1,10,47.84789,-121.60935
"Sail, The","Cloaca Boulder > Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/109135460/sail-the,3.2,-1,Boulder,V9,1,,47.54256,-120.72288
"Scattered And Lost","Main Cluster > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443380/scattered-and-lost,4.0,-1,"Boulder, Alpine","V9-10 X",1,,47.79356,-121.08888
"Schist Prow","Schist Cave > Swiftwater Picnic Area > Swiftwater Boulders > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/116097038/schist-prow,3.0,-1,Boulder,V9-10,1,20,47.66484,-120.71977
"Seam Of The Crime","The Classic Boulder > Lichtenberg Boulders > Smithbrook > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/125443240/seam-of-the-crime,4.0,-1,"Boulder, Alpine",V9-10,1,20,47.79381,-121.08835
"Slice of Cake Direct","The Hesitator > Barney's Rubble > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120105155/slice-of-cake-direct,3.0,-1,Boulder,V8-9,1,,47.54305,-120.73494
"Snap Crackle Pop","Rock Candy Boulder > Rhino Boulders > Far Side Boulders > **Bouldering at Exit 38 > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/114622888/snap-crackle-pop,1.0,-1,Boulder,V8-9,1,10,47.43152,-121.62424
"Sorrow Bird","Lonely Fish boulder > Lonely Fish > ** Bouldering in Icicle Creek > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118095905/sorrow-bird,-1.0,-1,Boulder,V9,1,15,47.53994,-120.70929
